stamp,IMAGE_SHAPE,NUM_CLASSES,NUM_FEATURES,batch_size,VALIDATION_SIZE,max_iter,eval_every,log_every,optimizer,criterion,lr,weight_decay,uses_dropout,uses_batchnorm,params_total,params_trainable,best_val_acc,duration_sec
20251028-111521,"(32, 32, 1)",99,64,32,0.1,1000,100,100,Adam,CrossEntropyLoss,0.001,0.0,False,False,437536,437536,0.7171717286109924,3.807370185852051
20251028-112627,"(32, 32, 1)",99,64,32,0.1,1000,100,100,Adam,CrossEntropyLoss,0.001,0.0,False,False,239424,239424,0.7878788113594055,4.50786828994751
20251028-112814,"(32, 32, 1)",99,64,32,0.1,1000,100,100,Adam,CrossEntropyLoss,0.001,0.0,False,False,156544,156544,0.7878788113594055,5.069951295852661
20251028-112953,"(32, 32, 1)",99,64,32,0.1,1000,100,100,Adam,CrossEntropyLoss,0.001,0.0,False,False,156544,156544,0.7676767706871033,4.951007843017578
20251028-113111,"(32, 32, 1)",99,64,32,0.1,1000,100,100,Adam,CrossEntropyLoss,0.001,0.0,False,False,179712,179712,0.7676767706871033,5.645925521850586
20251028-113212,"(32, 32, 1)",99,64,32,0.1,1000,100,100,Adam,CrossEntropyLoss,0.001,0.0,False,False,239424,239424,0.747474730014801,4.204970359802246
20251028-113301,"(32, 32, 1)",99,64,16,0.1,1000,100,100,Adam,CrossEntropyLoss,0.001,0.0,False,False,239424,239424,0.7272727489471436,3.926547050476074
20251028-113407,"(32, 32, 1)",99,64,64,0.1,1000,100,100,Adam,CrossEntropyLoss,0.001,0.0,False,False,239424,239424,0.7676767706871033,4.7226338386535645
20251028-113432,"(32, 32, 1)",99,64,128,0.1,1000,100,100,Adam,CrossEntropyLoss,0.001,0.0,False,False,239424,239424,0.747474730014801,5.582154989242554
20251028-113704,"(32, 32, 1)",99,64,32,0.1,1000,100,100,Adam,CrossEntropyLoss,0.001,0.0,True,False,239424,239424,0.7777777910232544,4.088056564331055
20251028-113921,"(32, 32, 1)",99,64,32,0.1,1000,100,100,Adam,CrossEntropyLoss,0.001,0.0,True,False,239424,239424,0.7575757503509521,4.368985176086426
20251028-114312,"(32, 32, 1)",99,64,32,0.1,1000,100,100,Adam,CrossEntropyLoss,0.001,0.0,True,False,239424,239424,0.7878788113594055,4.520151853561401
20251028-114703,"(32, 32, 1)",99,64,32,0.1,1000,100,100,Adam,CrossEntropyLoss,0.001,0.0,True,True,239520,239520,0.808080792427063,5.583304166793823
20251028-114930,"(32, 32, 1)",99,64,32,0.1,1000,100,100,Adam,CrossEntropyLoss,0.001,0.0001,True,True,239520,239520,0.7575757503509521,5.326679944992065
20251028-174841,"(64, 64, 1)",99,64,32,0.1,1000,100,100,Adam,CrossEntropyLoss,0.001,0.0001,True,True,847776,847776,0.747474730014801,4.4941418170928955
20251028-175326,"(64, 64, 1)",99,64,32,0.1,1000,100,100,Adam,CrossEntropyLoss,0.001,0.0,True,True,847776,847776,0.7272727489471436,4.290391445159912
20251028-181106,"(32, 32, 1)",99,64,32,0.1,1000,100,100,Adam,CrossEntropyLoss,0.001,0.0,True,True,239520,239520,0.7777777910232544,4.210230350494385
20251028-183335,"(32, 32, 1)",99,64,32,0.1,1000,100,100,Adam,CrossEntropyLoss,0.001,0.0,True,True,239520,239520,0.9797979593276978,4.221380949020386
20251028-183927,"(32, 32, 1)",99,64,32,0.1,2000,100,100,Adam,CrossEntropyLoss,0.001,0.0,True,True,239520,239520,0.9696969985961914,8.41437292098999
20251028-184147,"(32, 32, 1)",99,64,32,0.1,1000,100,100,Adam,CrossEntropyLoss,0.001,0.0001,True,True,239520,239520,0.9696969985961914,4.286723613739014
20251028-184232,"(32, 32, 1)",99,64,32,0.1,1000,100,100,Adam,CrossEntropyLoss,0.001,0.0001,True,True,239520,239520,0.9595959782600403,4.2541656494140625
20251028-184346,"(32, 32, 1)",99,64,32,0.1,1000,100,100,Adam,CrossEntropyLoss,0.003,0.0003,True,True,239520,239520,0.9797979593276978,4.259768724441528
20251028-184511,"(32, 32, 1)",99,64,32,0.1,1000,100,100,AdamW,CrossEntropyLoss,0.003,0.0003,True,True,239520,239520,0.9898989796638489,4.233209609985352
20251028-184601,"(32, 32, 1)",99,64,32,0.1,1000,100,100,AdamW,CrossEntropyLoss,0.003,0.0003,True,True,239520,239520,0.9797979593276978,4.2183592319488525
20251028-184640,"(32, 32, 1)",99,64,32,0.1,1000,100,100,AdamW,CrossEntropyLoss,0.003,0.0003,True,True,239520,239520,0.9898989796638489,4.235343933105469
20251028-184806,"(32, 32, 1)",99,64,32,0.1,1000,100,100,AdamW,CrossEntropyLoss,0.006,0.0006,True,True,239520,239520,0.9898989796638489,4.268388032913208
